"","Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces"
"711","Incredible Pedal IPA",1944,0.07,NA,264,"American IPA",12
"712","Graham Cracker Porter",1943,0.05,NA,264,"American Porter",12
"718","Strawberry Blonde",2015,0.05,NA,58,"Fruit / Vegetable Beer",12
"724","Kaleidoscope Collaboration 2012",731,NA,NA,492,"American Black Ale",16
"727","12 Man Pale Ale",1773,0.045,NA,320,"American Pale Ale (APA)",12
"729","Dock Street Amber Beer (1992)",944,NA,NA,489,"American Amber / Red Ale",12
"730","Dolores River Hefeweizen",524,NA,NA,532,"Hefeweizen",16
"731","Dolores River ESB",450,NA,NA,532,"Extra Special / Strong Bitter (ESB)",16
"732","Snaggletooth Double Pale Ale",449,NA,NA,532,"American Double / Imperial IPA",16
"733","Dolores River Pale Ale",448,NA,NA,532,"American Pale Ale (APA)",16
"734","Dolores River Dry Stout",447,NA,NA,532,"Irish Dry Stout",16
"735","Dolores River Mild",446,NA,NA,532,"English Dark Mild Ale",16
"736","Cranberry Blend",1246,0.049,NA,447,"Cider",12
"737","Orignal Blend",977,0.051,NA,447,"Cider",12
"744","Pumpkin Patch Ale",1590,0.05,NA,370,"Pumpkin Ale",16
"746","River Runners Pale Ale",1110,0.06,NA,370,"American Pale Ale (APA)",16
"747","Pumpkin Patch Ale (2012)",1014,0.05,NA,370,"Pumpkin Ale",16
"748","Mountain Fairy Raspberry Wheat",911,0.055,NA,370,"Fruit / Vegetable Beer",16
"749","Boater Beer",680,0.045,NA,370,"German Pilsener",16
"751","Bleeding Buckeye Red Ale",1642,0.057,NA,353,"Extra Special / Strong Bitter (ESB)",16
"753","Nut Sack Imperial Brown Ale",1107,0.07,NA,466,"American Brown Ale",12
"754","Underachiever",1039,0.05,NA,474,"American Adjunct Lager",16
"755","Lil' Brainless Raspberries",2477,0.052,NA,82,"Fruit / Vegetable Beer",12
"756","Element 29",2008,0.052,NA,82,"American Pale Ale (APA)",12
"757","Hop Syndrome",2004,0.05,NA,82,"American Pale Lager",12
"758","Escape to Colorado",2003,0.062,NA,82,"American IPA",12
"763","Bobblehead",2431,0.051,NA,27,"American Pale Wheat Ale",16
"764","Lucky Dog",2430,0.052,NA,27,"American Pale Ale (APA)",16
"765","Voodoo",2429,0.048,NA,27,"American Porter",16
"767","Nomader Weiss",2283,0.04,NA,174,"Berliner Weissbier",12
"768","Molotov Lite",2248,0.085,NA,174,"American Double / Imperial IPA",16
"769","Hipster Ale (Two Roads Brewing)",1287,0.055,NA,174,"American Pale Ale (APA)",12
"770","Bikini Beer",1286,0.027,NA,174,"American IPA",12
"771","Hipster Ale (Westbrook Brewing)",640,0.055,NA,174,"American Pale Ale (APA)",12
"783","Peaches & Cream",1731,0.046,NA,202,"Fruit / Vegetable Beer",16
"784","Quaff India Style Session Ale",1022,0.051,NA,202,"American IPA",16
"786","Mjolnir Imperial IPA",682,0.069,NA,202,"American Double / Imperial IPA",16
"787","Fearless Scottish Ale",112,0.05,NA,202,"Scottish Ale",16
"788","Mastermind",2289,0.081,NA,173,"American Double / Imperial IPA",12
"789","Hyzer Flip",2027,0.082,NA,173,"American Double / Imperial IPA",16
"792","Weiss Weiss Baby",2591,0.045,NA,37,"Kristalweizen",12
"795","Hardcore Chimera",1981,0.09,NA,257,"American Double / Imperial IPA",16
"797","Nuclear Winter",1663,0.086,NA,257,"Belgian Strong Dark Ale",16
"799","Secret Stache Stout",941,0.053,NA,257,"American Stout",16
"801","Cut Throat Pale Ale",809,0.055,NA,257,"American Pale Ale (APA)",16
"802","Threadless IPA",481,0.075,NA,257,"American IPA",16
"803","Cut Throat Pale Ale (2011)",351,0.055,NA,257,"American Pale Ale (APA)",16
"804","Golden Wing Blonde Ale",350,0.047,NA,257,"American Blonde Ale",16
"807","Pivo Pils",2462,0.053,NA,49,"German Pilsener",12
"808","805 Blonde Ale",1957,0.047,NA,49,"American Blonde Ale",12
"810","Deflator",2624,0.065,NA,17,"Doppelbock",16
"813","Inclined Plane Ale",520,NA,NA,533,"American IPA",12
"814","Moped Traveler",2554,0.055,NA,55,"American Pale Ale (APA)",16
"817","Flying Mouse 8",2567,0.04,NA,51,"American Porter",12
"819","La Ferme Urbaine Farmhouse Ale",1899,0.078,NA,280,"Saison / Farmhouse Ale",12
"820","Backyahd IPA",983,0.06,NA,280,"American IPA",12
"821","Raincloud Robust Porter",982,0.065,NA,280,"American Porter",12
"822","Barstool American Golden Ale",981,0.045,NA,280,"American Blonde Ale",12
"825","Quick WIT",2172,0.052,NA,207,"Belgian Pale Ale",12
"826","The Optimist",2171,0.062,NA,207,"American IPA",12
"827","Suicide Squeeze IPA",1911,0.045,NA,207,"American IPA",16
"828","Java the Hop",1803,0.065,NA,207,"American IPA",16
"829","Next Adventure Black IPA",1566,0.062,NA,207,"American Black Ale",16
"830","3-Way IPA (2013)",1515,0.067,NA,207,"American IPA",16
"831","Tender Loving Empire NWPA",1214,0.058,NA,207,"American Pale Ale (APA)",16
"832","Quick Wit Belgianesque Ale",674,0.052,NA,207,"Witbier",16
"833","Sunrise Oatmeal Pale Ale",562,0.055,NA,207,"American Pale Ale (APA)",16
"834","Cavatica Stout",552,0.088,NA,207,"American Double / Imperial Stout",16
"835","1811 Lager",319,0.051,NA,207,"American Amber / Red Lager",16
"837","Fort Pitt Ale",2322,NA,NA,152,"American Amber / Red Ale",12
"848","Feel Like Maplin' Love",2613,0.055,NA,23,"Oatmeal Stout",16
"849","Father's Beer",2612,0.05,NA,23,"Belgian Pale Ale",16
"850","The 26th",2611,0.06,NA,23,"American IPA",16
"852","Leprechaun Lager",1657,0.04,NA,349,"American Pale Lager",12
"855","Pumpkin Porter",1616,0.051,NA,161,"American Porter",12
"859","Sunbru Kölsch",178,0.052,NA,161,"Kölsch",12
"860","Four String Vanilla Porter",2428,0.06,NA,106,"American Porter",12
"864","Old Detroit",1998,0.056,NA,254,"American Amber / Red Ale",12
"869","Pinata Protest",2525,0.06,NA,67,"Witbier",12
"871","Original",2523,0.068,NA,67,"American Amber / Red Ale",12
"875","77 Fremont Select Spring Session IPA",1174,0.04,NA,461,"American IPA",12
"876","Fremont Organic Pale Ale",1116,0.045,NA,461,"American Pale Ale (APA)",12
"877","Abominable Ale",994,0.08,NA,461,"English Strong Ale",12
"886","Cack-A-Lacky",1658,0.05,NA,348,"American Pale Ale (APA)",12
"900","Cabrillo Kölsch",1034,0.05,NA,241,"Kölsch",16
"922","White Water Wheat",477,0.05,NA,537,"American Pale Wheat Ale",12
"923","Grand Canyon American Pilsner",476,0.052,NA,537,"American Pilsner",12
"924","Grand Canyon Sunset Amber Ale",143,0.054,NA,537,"American Amber / Red Ale",12
"925","Black Iron India Pale Ale",142,NA,NA,537,"American IPA",12
"949","Denver Pale Ale (Artist Series No. 1)",2650,0.05,NA,7,"American Pale Ale (APA)",12
"950","Hibernation Ale",2649,0.087,NA,7,"Old Ale",12
"951","Whitewater",2648,0.061,NA,7,"American Pale Wheat Ale",12
"952","Rumble",2647,0.071,NA,7,"American IPA",12
"953","Orabelle",2646,0.083,NA,7,"Tripel",12
"954","Lasso",2645,0.05,NA,7,"American IPA",12
"956","Colette",2643,0.073,NA,7,"Saison / Farmhouse Ale",12
"957","Titan IPA",2642,0.071,NA,7,"American IPA",12
"961","Southern Drawl Pale Lager",1922,0.052,NA,270,"American Pale Lager",12
"964","Great River Golden Ale",1446,0.048,NA,366,"American Blonde Ale",12
"965","Dirty Blonde Chocolate Ale",1275,0.048,NA,366,"American Blonde Ale",12
"968","Aaah Bock Lager",1028,0.06,NA,366,"Vienna Lager",16
"983","Autumn Winds Fest Beer",2461,0.058,NA,87,"Märzen / Oktoberfest",16
"985","Autumn Winds",1567,0.058,NA,380,"Märzen / Oktoberfest",16
"988","Bring Back the Beach Blonde Ale",1185,0.055,NA,380,"American Blonde Ale",16
"993","3 Scrooges",2143,0.065,NA,125,"Winter Warmer",16
"997","Norm's Raggedy Ass IPA",2139,0.075,NA,125,"American IPA",16
"1000","Lemon Shandy Tripel",1570,0.09,NA,125,"Tripel",16
"1003","Hale's Pale American Ale",1440,0.047,NA,291,"American Pale Ale (APA)",12
"1004","Heyoka IPA",1753,0.07,NA,328,"American IPA",16
"1005","Guest Lager",1448,0.08,NA,328,"American Double / Imperial Pilsner",16
"1006","Pony Pilsner",1134,0.057,NA,328,"German Pilsener",16
"1007","Akari Shogun American Wheat Ale",1066,0.055,NA,328,"American Pale Wheat Ale",16
"1008","Meat Wave",849,0.06,NA,328,"English India Pale Ale (IPA)",16
"1009","Over Ale",352,0.06,NA,328,"American Brown Ale",16
"1010","Gossamer Golden Ale",149,0.042,NA,328,"American Blonde Ale",16
"1011","Daisy Cutter Pale Ale",148,0.052,NA,328,"American Pale Ale (APA)",16
"1021","Honey Cider",1558,0.048,NA,235,"Cider",12
"1031","Great Falls Select Pale Ale",506,NA,NA,536,"American Blonde Ale",12
"1032","Beltian White",181,0.048,NA,536,"Witbier",12
"1033","Kaua'i Golden Ale",2183,0.049,NA,205,"American Blonde Ale",12
"1034","Sunset Amber",2182,0.054,NA,205,"American Pale Ale (APA)",12
"1035","Hapa Brown Ale",2181,0.064,NA,205,"American Brown Ale",19.2
"1036","Hapa Brown Ale",2180,0.064,NA,205,"American Brown Ale",12
"1037","Southern Cross",2179,0.083,NA,205,"Flanders Red Ale",19.2
"1043","Davy Jones Lager",988,0.06,NA,480,"Cream Ale",12
"1050","Oregon Trail Unfiltered Raspberry Wheat",616,0.045,NA,501,"Fruit / Vegetable Beer",12
"1051","Annie's Amber Ale",96,0.055,NA,501,"American Amber / Red Ale",12
"1057","White Cap White IPA",1652,0.042,NA,350,"American White IPA",16
"1069","Green House India Pale Ale",1501,0.07,NA,396,"American IPA",12
"1070","The One They Call Zoe",1004,0.051,NA,396,"American Pale Lager",12
"1073","Porter Culture",2357,0.065,NA,137,"American Porter",12
"1074","Hard Cider",2483,0.068,NA,81,"Cider",16
"1097","Watermelon Wheat",2385,0.056,NA,121,"American Pale Wheat Ale",12
"1099","Oktoberfest",2383,0.06,NA,121,"Märzen / Oktoberfest",16
"1100","Trail Maker Pale Ale",1251,0.065,NA,446,"American Pale Ale (APA)",12
"1101","Action Man Lager",1250,0.055,NA,446,"Vienna Lager",12
"1117","Summer Ale",2376,0.049,NA,124,"American Blonde Ale",12
"1118","Appreciation Ale",1784,NA,NA,317,"American IPA",16
"1124","Helen's Blend",1405,0.05,NA,417,"Cider",12
"1125","Jack's Hard Cider",823,0.051,NA,417,"Cider",12
"1127","Razz Wheat",2453,0.055,NA,93,"Fruit / Vegetable Beer",12
"1128","Hop Ryot",2363,0.065,NA,93,"American IPA",12
"1129","Mystic Mama IPA",689,0.07,NA,93,"American IPA",12
"1130","Firefly Amber Ale",688,0.05,NA,93,"American Amber / Red Ale",12
"1131","Chomolungma Honey Nut Brown Ale",687,0.067,NA,93,"English Brown Ale",12
"1132","Welcome to Scoville",2408,0.069,NA,115,"American IPA",12
"1133","Bastian",2595,NA,NA,33,"American Strong Ale",12
"1134","Healani",2480,0.045,NA,33,"Hefeweizen",12
"1135","Yabba Dhaba Chai Tea Porter",1525,0.055,NA,33,"American Porter",12
"1136","A Capella Gluten Free Pale Ale",1524,0.055,NA,33,"American Pale Ale (APA)",12
"1137","Casper White Stout",1523,0.06,NA,33,"American Blonde Ale",12
"1138","JP's Ould Sod Irish Red IPA",1254,0.06,NA,33,"American IPA",12
"1143","Sucha Much IPA",2163,0.071,NA,209,"American IPA",12
"1158","Skilak Scottish Ale",1193,0.058,NA,459,"Scottish Ale",12
"1160","Sunken Island IPA",349,0.068,NA,459,"American IPA",12
"1161","Skilak Scottish Ale (2011)",348,0.058,NA,459,"Scottish Ale",12
"1168","U. P. Witbier",2472,NA,NA,85,"Witbier",12
"1169","November Gale Pale Ale",779,NA,NA,85,"American Pale Ale (APA)",12
"1170","Olde Ore Dock Scottish Ale",364,NA,NA,85,"Scottish Ale",12
"1171","Widow Maker Black Ale",60,NA,NA,85,"American Brown Ale",12
"1172","Lift Bridge Brown Ale",59,NA,NA,85,"American Brown Ale",12
"1173","Pick Axe Blonde Ale",58,NA,NA,85,"American Blonde Ale",12
"1174","Red Jacket Amber Ale",57,NA,NA,85,"American Amber / Red Ale",12
"1175","Amber Ale",2436,0.051,NA,103,"American Amber / Red Ale",12
"1176","King Street Pilsner",1706,0.055,NA,103,"Czech Pilsener",12
"1179","King Street Blonde Ale",1665,0.049,NA,103,"American Blonde Ale",12
"1187","Bellingham Beer Week 2013 Collaboration",1637,0.08,NA,355,"Belgian Strong Dark Ale",16
"1192","Beach Cruiser",2547,0.045,NA,60,"Hefeweizen",12
"1193","I.P. Eh!",2493,0.068,NA,60,"American IPA",12
"1194","Schoolhouse Honey",2492,0.05,NA,60,"American Amber / Red Ale",12
"1195","10 Degrees of Separation",2491,0.055,NA,60,"English Brown Ale",12
"1201","Lazy Monk Bohemian Pilsner",1445,0.05,NA,407,"Czech Pilsener",16
"1202","Yellowstone Golden Ale",475,0.051,NA,538,"Kölsch",12
"1203","Tumbleweed IPA",474,0.057,NA,538,"American IPA",12
"1204","Lewis & Clark Amber Ale",473,0.05,NA,538,"American Amber / Red Ale",12
"1205","Miner's Gold Hefeweizen",472,0.05,NA,538,"Hefeweizen",12
"1206","Back Country Scottish Ale",471,0.057,NA,538,"Scottish Ale",12
"1214","Deadeye Jack",2332,0.06,NA,150,"American Porter",12
"1215","Pistols at Dawn",2330,0.075,NA,150,"American Stout",16
"1226","Mosaic Single Hop IPA",2582,0.055,NA,42,"American IPA",16
"1227","Lost Galaxy",2581,0.045,NA,42,"American IPA",16
"1231","Hips Don't Lie",1204,0.062,NA,457,"Hefeweizen",16
"1232","Ride Again Pale Ale",1122,0.052,NA,457,"American Pale Ale (APA)",16
"1233","The Farmer's Daughter",700,0.048,NA,457,"American Blonde Ale",16
"1236","Knotty Pine",2311,0.054,NA,159,"American Pale Ale (APA)",12
"1238","Lumberyard IPA",355,0.061,NA,159,"American IPA",12
"1239","Lumberyard Red Ale",125,0.058,NA,159,"American Amber / Red Ale",12
"1240","Mac's Highlander Pale Ale (2000)",962,0.05,NA,486,"American Pale Ale (APA)",12
"1242","Macon Progress Ale",1475,0.05,NA,401,"American Pale Ale (APA)",12
"1243","Macon History Ale",1008,0.055,NA,401,"American Brown Ale",12
"1244","Galaxy High",2454,0.099,NA,92,"American Double / Imperial IPA",12
"1246","Thunder Snow",2133,0.085,NA,92,"Winter Warmer",12
"1256","High Country Pilsner (Current)",511,0.042,NA,535,"German Pilsener",12
"1257","Epic IPA",75,0.065,NA,535,"American IPA",12
"1258","Golden Trout Pilsner",74,0.042,NA,535,"German Pilsener",12
"1259","Real McCoy Amber Ale (Current)",73,0.045,NA,535,"American Amber / Red Ale",12
"1260","Festivus (1)",1628,0.072,NA,357,"Winter Warmer",12
"1261","Manayunk Oktoberfest",1626,0.067,NA,357,"Märzen / Oktoberfest",12
"1263","Manayunk IPA",1624,0.055,NA,357,"American IPA",12
"1264","Yunkin' Punkin'",1600,0.055,NA,357,"Pumpkin Ale",12
"1274","Marble Pilsner",1262,0.047,NA,444,"German Pilsener",12
"1275","Marble India Pale Ale",845,0.062,NA,444,"American IPA",12
"1276","Toughcats IPA",1783,0.072,NA,318,"American IPA",16
"1277","Tug Pale Ale",1717,0.05,NA,318,"American Pale Ale (APA)",16
"1278","Sexy Chaos",1716,0.099,NA,318,"Russian Imperial Stout",16
"1279","Ace Hole American Pale Ale",1516,0.063,NA,318,"American Pale Ale (APA)",16
"1280","Cant Dog Imperial Pale Ale",725,0.097,NA,318,"American Double / Imperial IPA",16
"1284","The Imperial Texan",2120,0.08,NA,162,"American Double / Imperial IPA",16
"1285","The Imperial Texan",1234,0.08,NA,162,"American Double / Imperial IPA",12
"1286","Day Break 4-Grain Breakfast Beer",1233,0.05,NA,162,"Rye Beer",16
"1287","River House Saison",1232,0.05,NA,162,"Saison / Farmhouse Ale",12
"1288","There Will Be Stout",1231,0.065,NA,162,"American Stout",12
"1290","Saranac Shandy",1359,0.042,NA,300,"Shandy",12
"1292","Saranac Golden Pilsener (2003)",960,0.051,NA,300,"German Pilsener",12
"1293","Saranac Adirondack Light (2002)",959,0.045,NA,300,"Light Lager",12
"1294","DAX Light (1998)",958,0.045,NA,300,"Light Lager",12
"1295","Saranac Traditional Lager (2000)",957,0.048,NA,300,"American Pale Lager",12
"1296","Pomegranate Wheat (2008)",956,0.047,NA,300,"Fruit / Vegetable Beer",12
"1298","Saranac White IPA",686,0.06,NA,300,"American IPA",12
"1299","Saranac Summer Ale (2011)",453,0.047,NA,300,"American Pale Wheat Ale",12
"1300","Saranac Pale Ale (12 oz.)",150,0.055,NA,300,"English Pale Ale",12
"1301","Saranac Pale Ale (16 oz.)",133,0.055,NA,300,"English Pale Ale",16
"1303","Pau Hana Pilsner",1429,0.055,NA,376,"Czech Pilsener",12
"1304","Lemongrass Saison",1271,0.05,NA,376,"Saison / Farmhouse Ale",12
"1305","Aloha B’ak’tun",713,0.07,NA,376,"Belgian Strong Dark Ale",12
"1306","Liquid Breadfruit",712,0.082,NA,376,"Fruit / Vegetable Beer",12
"1317","Bushwhacker Cider",1986,0.069,NA,255,"Cider",16
"1318","Weim-R-Iner",1985,0.069,NA,255,"Cider",16
"1319","Cherry Bomb",1984,0.069,NA,255,"Cider",16
"1330","Mickey Finn's Amber Ale",174,0.056,NA,553,"American Amber / Red Ale",12
"1342","Vinyl Frontier",2535,0.083,NA,66,"American Double / Imperial IPA",24
"1343","Disco Superfly",2534,0.08,NA,66,"American IPA",24
"1344","Misty Mountain Hop",2533,0.075,NA,66,"American IPA",24
"1345","One-Hit Wonderful",2532,0.075,NA,66,"Belgian IPA",24
"1346","En Parfaite Harmonie",2531,0.065,NA,66,"Saison / Farmhouse Ale",24
"1348","Love In An Ellavator",2529,0.075,NA,66,"American IPA",24
"1349","Spin Doctor",2528,0.053,NA,66,"American Pale Ale (APA)",24
"1350","Keeper (Current)",1612,0.05,NA,364,"American Pilsner",12
"1351","Better Half",1611,0.068,NA,364,"American IPA",12
"1352","SNO White Ale",1273,0.048,NA,441,"Witbier",16
"1353","BRIK Irish Red Ale",365,0.048,NA,441,"Irish Red Ale",16
"1354","AXL Pale Ale",273,NA,NA,441,"American Pale Ale (APA)",16
"1359","O-Gii",776,0.092,NA,285,"Witbier",16
"1362","Axe Head Malt Liquor",2361,0.099,NA,135,"American Malt Liquor",24
"1363","Huber Bock (2014)",2359,0.054,NA,135,"Bock",16
"1364","Minhas Light (2012)",2358,0.04,NA,135,"Light Lager",12
"1365","Huber",2282,0.05,NA,135,"American Pale Lager",12
"1366","Clear Creek Ice",2281,0.062,NA,135,"American Pale Lager",16
"1367","Clear Creek Ice",2280,0.062,NA,135,"American Pale Lager",12
"1368","Mountain Crest",2279,0.055,NA,135,"American Pale Lager",16
"1369","Mountain Crest",2278,0.055,NA,135,"American Pale Lager",12
"1370","Mountain Creek (2013)",2277,0.055,NA,135,"American Pale Lager",12
"1371","Boxer",2276,0.05,NA,135,"American Adjunct Lager",24
"1372","Boxer Light",2275,0.042,NA,135,"Light Lager",12
"1373","Boxer Ice",2274,0.055,NA,135,"American Adjunct Lager",12
"1374","Boxer",2273,0.05,NA,135,"American Adjunct Lager",12
"1375","Cortez Gold",2442,0.05,NA,99,"Belgian Pale Ale",32
"1379","Squeaky Bike Nut Brown Ale",1476,0.04,NA,400,"American Brown Ale",16
"1380","Dead Horse Amber",902,0.04,NA,400,"American Pale Wheat Ale",16
"1381","Rocket Bike American Lager",645,0.04,NA,400,"California Common / Steam Beer",16
"1382","Johnny's American IPA",644,0.04,NA,400,"American IPA",16
"1383","Boneshaker Brown Ale",337,0.055,NA,548,"English Brown Ale",24
"1384","Iron Mike Pale Ale",336,0.056,NA,548,"American Pale Ale (APA)",24
"1385","Monkadelic",2236,0.042,NA,190,"American Pale Ale (APA)",12
"1394","Wapiti Amber Ale",327,0.05,NA,550,"American Amber / Red Ale",12
"1395","Sweet Georgia Brown",719,0.054,NA,515,"American Brown Ale",16
"1396","Rich Man's IIPA",718,0.087,NA,515,"American Double / Imperial IPA",16
"1397","Monkey Paw Oatmeal Pale Ale",717,0.058,NA,515,"American Pale Ale (APA)",16
"1406","Second Wind Pale Ale",419,0.05,NA,541,"American Pale Ale (APA)",12
"1407","Sunny Haze",408,0.05,NA,541,"Hefeweizen",12
"1410","Train Wreck",1952,0.082,NA,261,"American Amber / Red Ale",16
"1411","Full Moon Belgian White Ale",768,0.085,NA,508,"Witbier",12
"1412","Desert Magic IPA",625,0.072,NA,508,"American IPA",12
"1413","Up River Light",326,0.042,NA,508,"Light Lager",12
"1414","Full Moon Belgian White Ale (2007)",132,0.085,NA,508,"Witbier",12
"1415","Dry Heat Hefeweizen (2006)",131,0.055,NA,508,"Hefeweizen",12
"1416","Mustang Sixty-Six",1598,0.05,NA,367,"American Amber / Red Lager",12
"1417","Mustang '33",862,0.04,NA,367,"American Pale Lager",12
"1418","Session '33 (2011)",699,0.04,NA,367,"American Pale Lager",12
"1431","Undun Blonde Ale",1537,0.053,NA,388,"American Blonde Ale",16
"1432","CuDa Cascadian Dark Ale",1536,0.074,NA,388,"American Black Ale",16
"1435","CuDa Cascadian Dark Ale (2012)",746,0.074,NA,388,"American Black Ale",16
"1436","Undun Blonde Ale (2012)",654,0.053,NA,388,"American Blonde Ale",16
"1442","County Line IPA",1758,0.066,NA,326,"American IPA",12
"1443","Trauger Pilsner",1757,0.048,NA,326,"German Pilsener",12
"1448","Blue Paddle",1975,0.048,NA,83,"Czech Pilsener",12
"1449","California Route",1737,0.055,NA,83,"American Amber / Red Lager",12
"1450","Snapshot",1707,0.052,NA,83,"American Pale Wheat Ale",16
"1451","Sunshine Wheat Beer",1690,0.048,NA,83,"American Pale Wheat Ale",12
"1459","Sunshine Wheat Beer (2009)",72,0.048,NA,83,"American Pale Wheat Ale",12
"1462","Sea Hag IPA",885,0.062,NA,411,"American IPA",12
"1463","Elm City Pilsner",884,0.05,NA,411,"American Pilsner",12
"1464","Atlantic Amber Ale (2004)",757,0.05,NA,411,"American Amber / Red Ale",12
"1465","668 Neighbor of the Beast12 oz.",568,0.09,NA,411,"Belgian Pale Ale",12
"1467","668 Neighbor of the Beast (16 oz.) (2010)",43,0.09,NA,411,"Belgian Pale Ale",16
"1469","Elm City Lager (2007)",41,0.05,NA,411,"American Pilsner",12
"1470","Atlantic Amber Ale (2007)",40,0.05,NA,411,"American Amber / Red Ale",12
"1471","Sea Hag IPA (Current)",39,0.062,NA,411,"American IPA",12
"1472","Rebirth Pale Ale",2272,0.05,NA,175,"American Pale Ale (APA)",12
"1473","Irish Channel Stout",1582,0.068,NA,175,"American Stout",16
"1474","MechaHopzilla",1114,0.088,NA,175,"American Double / Imperial IPA",16
"1475","Hopitoulas IPA",486,0.065,NA,175,"American IPA",16
"1476","NOLA Brown Ale",485,0.039,NA,175,"English Dark Mild Ale",12
"1477","NOLA Blonde Ale",484,0.049,NA,175,"American Blonde Ale",12
"1481","Nut Brown Ale",646,0.054,NA,519,"English Brown Ale",12
"1482","White Ale",165,0.046,NA,519,"Witbier",12
"1484","Green Head IPA",915,0.072,NA,496,"American IPA",12
"1485","Plum Island Belgian White",914,0.054,NA,496,"Witbier",12
"1486","Newburyport Pale Ale",913,0.055,NA,496,"American Pale Ale (APA)",12
"1487","Marblehead",1811,0.055,NA,306,"American Amber / Red Ale",16
"1490","Paleo IPA",1307,0.06,NA,432,"English India Pale Ale (IPA)",12
"1491","Buck Snort Stout",1306,0.061,NA,432,"American Stout",12
"1492","Station 33 Firehouse Red",1305,0.055,NA,432,"Irish Red Ale",12
"1493","Slimy Pebble Pils",1304,0.045,NA,432,"German Pilsener",12
"1500","Blue Boots IPA",1854,0.069,NA,294,"American IPA",16
"1501","Hoppy Bitch IPA",1227,0.063,NA,451,"American IPA",16
"1503","Walter's Premium Pilsener Beer",541,0.045,NA,530,"German Pilsener",12
"1504","Floppin' Crappie",109,0.045,NA,530,"American Pale Wheat Ale",12
"1505","Left of the Dial IPA",1917,0.043,NA,272,"American IPA",12
"1506","Notch Session Pils",1190,0.04,NA,272,"Czech Pilsener",12
"1507","O'Fallon Pumpkin Beer",1264,0.055,NA,443,"Pumpkin Ale",12
"1518","Occidental Hefeweizen",2192,0.047,NA,201,"American Pale Wheat Ale",16
"1519","Occidental Dunkel",1130,0.051,NA,201,"Dunkelweizen",16
"1520","Occidental Altbier",1129,0.05,NA,201,"Altbier",16
"1521","Occidental Kölsch",1081,0.045,NA,201,"Kölsch",16
"1525","Heliocentric Hefeweizen",1721,0.047,NA,149,"Hefeweizen",12
"1526","Ghose Drifter Pale Ale",1720,0.051,NA,149,"American Pale Ale (APA)",12
"1527","Ghost Rider Pale Ale (2013)",1431,0.051,NA,149,"American Pale Ale (APA)",12
"1528","Helios Hefeweizen (2013)",1430,0.047,NA,149,"Hefeweizen",12
